origin,destination,weight
gci21_Nactivity,gci31_Nstrategy,0.9996813877153179
gci21_Nactivity,gci31_Npriority,-0.9999463060777083
gci21_Nactivity,gci32_Acyber,-0.9988167221250785
gci21_Nactivity,gci32_Aciip,-0.982904705371318
gci21_Nactivity,gci41_AWmsme,0.9961141754301226
gci21_Nactivity,gci41_AWprivate,0.9887571561608006
gci21_Nactivity,gci41_AWpublic,0.9993588465698321
gci21_Nactivity,gci41_AWgeneral,-0.9996505668108141
gci21_Nactivity,gci41_AWcop,0.9857202882411741
gci21_Nactivity,gci41_AWchildren,0.9994419067417637
gci21_Nactivity,gci42_Tprofessional,0.9802353292242956
gci21_Nactivity,gci42_Tacreditation,0.9802353292242958
gci21_Nactivity,gci42_Tsector,0.9802353257921663
gci21_Nactivity,gci43_Cprimary,0.9802353300924496
gci21_Nactivity,gci43_Csecondary,0.9802353301332706
gci21_Nactivity,gci43_Chigher,0.9999724830053464
gci21_Nactivity,gci44_Evalscheme,0.9978134494956448
gci21_Nactivity,gci52_Mcapacitydev,-0.9983285362401482
gci21_Nactivity,gci53_Mlat,-0.9966192351611651
gci21_Nactivity,gci54_PPPdomestic,-0.9898840494807595
gci21_Nactivity,gci54_PPPforeign,-0.9989063109491417
gci21_Nfirst,gci11_Lonline,-0.9873501354903671
gci21_Nfirst,gci11_Lforgery,0.9869268249973676
gci21_Nfirst,gci11_Lolsafety,0.9956745932716382
gci21_Nfirst,gci12_Rpdp,-0.9972374356560915
gci21_Nfirst,gci12_Rstandard,0.9749911037209429
gci21_Nfirst,gci12_Rsign,0.9920306627192284
gci21_Nfirst,gci12_Rspam,0.9749911184646718
gci21_Nfirst,gci12_Rcop,0.9811903365039156
gci21_Nfirst,gci21_NatCsirt,0.9996059278574615
gci21_Nfirst,gci21_Nactivity,0.999681489946256
gci21_Nfirst,gci21_NregCisrt,0.9993357367096263
gci21_Nfirst,gci22_Scsirt,-0.999670751514966
gci21_Nfirst,gci23_FStandard,-0.9910488178332233
gci21_Nfirst,gci23_Fciip,-0.9806390570139493
gci21_Nfirst,gci31_Nstrategy,0.9999999614869838
gci21_Nfirst,gci31_Npriority,-0.9993759852232162
gci21_Nfirst,gci32_Acyber,-0.9972913819792815
gci21_Nfirst,gci32_Aciip,-0.978002168189142
gci21_Nfirst,gci41_AWmsme,0.9936051430382606
gci21_Nfirst,gci41_AWprivate,0.9847161648117223
gci21_Nfirst,gci41_AWpublic,0.9981536060060326
gci21_Nfirst,gci41_AWgeneral,-0.9999989189491738
gci21_Nfirst,gci41_AWcop,0.9812094067697531
gci21_Nfirst,gci41_AWchildren,0.9982965249763674
gci21_Nfirst,gci42_Tprofessional,0.974991119646
gci21_Nfirst,gci42_Tacreditation,0.9749911196460004
gci21_Nfirst,gci42_Tsector,0.9749911157904163
gci21_Nfirst,gci43_Cprimary,0.9749911206212666
gci21_Nfirst,gci43_Csecondary,0.9749911206671241
gci21_Nfirst,gci43_Chigher,0.9998460389332203
gci21_Nfirst,gci44_Evalscheme,0.999152427810575
gci21_Nfirst,gci52_Mcapacitydev,-0.9965746538055803
gci21_Nfirst,gci53_Mlat,-0.9942576386890387
gci21_Nfirst,gci54_PPPdomestic,-0.9860337180099951
gci21_Nfirst,gci54_PPPforeign,-0.9974277810754599
gci21_NregCisrt,gci11_Lonline,-0.976256454095554
gci21_NregCisrt,gci11_Lforgery,0.9756794337687699
gci21_NregCisrt,gci11_Lolsafety,0.9884452128896546
gci21_NregCisrt,gci12_Rpdp,-0.9911060785235796
gci21_NregCisrt,gci12_Rstandard,0.9601558119305982
gci21_NregCisrt,gci12_Rsign,0.9828525923732206
gci21_NregCisrt,gci12_Rspam,0.9601558304704091
gci21_NregCisrt,gci12_Rcop,0.9680696285852599
gci21_NregCisrt,gci21_NatCsirt,0.9962007830609878
gci21_NregCisrt,gci21_Nactivity,0.9964436604309604
gci21_NregCisrt,gci21_Nfirst,0.998034925709595
